barangay,city,province,region,urban_or_rural,population_2020
Cosocos,Nagbukel,Ilocos Sur,Region I (Ilocos Region),R, 217 
Santiago Norte,Caba,La Union,Region I (Ilocos Region),R," 1,137 "
Namtutan,City of San Fernando ,La Union,Region I (Ilocos Region),R, 944 
Pagdaraoan,City of San Fernando ,La Union,Region I (Ilocos Region),U," 2,975 "
Lipay Proper,San Gabriel,La Union,Region I (Ilocos Region),R, 505 
Ilang,City of San Carlos,Pangasinan,Region I (Ilocos Region),U," 1,381 "
Palospos,City of San Carlos,Pangasinan,Region I (Ilocos Region),R," 1,621 "
Palapad,San Fabian,Pangasinan,Region I (Ilocos Region),R," 1,883 "
Banuar,Laoac,Pangasinan,Region I (Ilocos Region),R," 1,920 "
Centro 1 ,Aparri,Cagayan,Region II (Cagayan Valley),R, 875 
Nangalinan,Baggao,Cagayan,Region II (Cagayan Valley),R," 1,499 "
Magsidel,Calayan,Cagayan,Region II (Cagayan Valley),R," 1,590 "
Bantay,Camalaniugan,Cagayan,Region II (Cagayan Valley),R, 952 
Patagueleg,Peñablanca,Cagayan,Region II (Cagayan Valley),R, 700 
Villa,Santa Teresita,Cagayan,Region II (Cagayan Valley),R," 2,217 "
Gosi Norte,Tuguegarao City ,Cagayan,Region II (Cagayan Valley),R," 1,134 "
San Vicente,Angadanan,Isabela,Region II (Cagayan Valley),R, 496 
Angancasilian,Cabagan,Isabela,Region II (Cagayan Valley),R," 1,390 "
Luzon,Cabatuan,Isabela,Region II (Cagayan Valley),R," 1,821 "
Linglingay,Gamu,Isabela,Region II (Cagayan Valley),R," 1,348 "
District II ,Gamu,Isabela,Region II (Cagayan Valley),R," 2,201 "
San Andres,Delfin Albano,Isabela,Region II (Cagayan Valley),R, 572 
Burgos,Naguilian,Isabela,Region II (Cagayan Valley),R," 1,915 "
Malasin ,Dupax del Norte,Nueva Vizcaya,Region II (Cagayan Valley),U," 5,017 "
Cabanglasan,Kayapa,Nueva Vizcaya,Region II (Cagayan Valley),R, 751 
